id,created_at,updated_at,created_by,type,category,severity,name,description,query,auto,alive_only,report_vuln,risk,exploitable,vid,cve,cvss2_base_score,cvss2_temporal_score,cvss3_base_score,cvss3_temporal_score,cpe23,solution,attributes,report_finding,finding_code
,2026-05-12,2026-05-12,salesengineering@runzero.com,assets,Security,Info,External IPv4: End-of-Life assets,,has_public_v4:t and os_eol:<now,false,true,false,None,false,,,0.00,0.00,0.00,0.00,,,{},false,
,2026-05-12,2026-05-12,salesengineering@runzero.com,assets,Security,Info,External IPv4: Insecure Authentication,,"has_public_v4:t and finding_name:""insecure authentication mechanism""",false,true,false,Info,false,,,0.00,0.00,0.00,0.00,,,{},false,
,2026-05-12,2026-05-12,salesengineering@runzero.com,assets,Security,Info,External IPv4: Service Misconfiguration,,"has_public_v4:t and finding_name:""service misconfiguration""",false,true,false,Info,false,,,0.00,0.00,0.00,0.00,,,{},false,
,2026-05-12,2026-05-12,salesengineering@runzero.com,assets,Security,Info,External IPv4: Information Disclosure,,"has_public_v4:t and finding_name:""information disclosure vulnerability""",false,true,false,Info,false,,,0.00,0.00,0.00,0.00,,,{},false,
,2026-05-12,2026-05-12,salesengineering@runzero.com,assets,Security,Info,External IPv4: Widely Shared Private Key,,"has_public_v4:t and finding_name:""widely shared private key""",false,true,false,Info,false,,,0.00,0.00,0.00,0.00,,,{},false,
,2026-05-12,2026-05-12,salesengineering@runzero.com,assets,Security,Info,External IPv4: Expired Certificate,,"has_public_v4:t and finding_name:""expired certificate""",false,true,false,Info,false,,,0.00,0.00,0.00,0.00,,,{},false,
,2026-05-12,2026-05-12,salesengineering@runzero.com,assets,Security,Info,External IPv4: Cert and TLS risks,,"has_public_v4:t and finding_name:""certificate and tls service risks""",false,true,false,Info,false,,,0.00,0.00,0.00,0.00,,,{},false,
,2026-05-12,2026-05-12,salesengineering@runzero.com,assets,Security,Info,External IPv4: Insecure Protocols,,"has_public_v4:t and finding_name:""obsolete or insecure protocol""",false,true,false,Info,false,,,0.00,0.00,0.00,0.00,,,{},false,
,2026-05-12,2026-05-12,salesengineering@runzero.com,assets,Security,Info,External IPv4: Admin Interface Available,,"has_public_v4:t and finding_name:""administrative interface available""",false,true,false,Info,false,,,0.00,0.00,0.00,0.00,,,{},false,
,2026-05-12,2026-05-12,salesengineering@runzero.com,assets,Security,Info,External IPv4/6: End-of-Life assets,,has_public:t and os_eol:<now,false,true,false,Info,false,,,0.00,0.00,0.00,0.00,,,{},false,
,2026-05-12,2026-05-12,salesengineering@runzero.com,assets,Security,Info,External IPv4/6: Insecure Authentication,,"has_public:t and finding_name:""insecure authentication mechanism""",false,true,false,Info,false,,,0.00,0.00,0.00,0.00,,,{},false,
,2026-05-12,2026-05-12,salesengineering@runzero.com,assets,Security,Info,External IPv4/6: Service Misconfiguration,,"has_public:t and finding_name:""service misconfiguration""",false,true,false,Info,false,,,0.00,0.00,0.00,0.00,,,{},false,
,2026-05-12,2026-05-12,salesengineering@runzero.com,assets,Security,Info,External IPv4/6: Information Disclosure,,"has_public:t and finding_name:""information disclosure vulnerability""",false,true,false,Info,false,,,0.00,0.00,0.00,0.00,,,{},false,
,2026-05-12,2026-05-12,salesengineering@runzero.com,assets,Security,Info,External IPv4/6: Widely Shared Private Key,,"has_public:t and finding_name:""widely shared private key""",false,true,false,Info,false,,,0.00,0.00,0.00,0.00,,,{},false,
,2026-05-12,2026-05-12,salesengineering@runzero.com,assets,Security,Info,External IPv4/6: Expired Certificate,,"has_public:t and finding_name:""expired certificate""",false,true,false,Info,false,,,0.00,0.00,0.00,0.00,,,{},false,
,2026-05-12,2026-05-12,salesengineering@runzero.com,assets,Security,Info,External IPv4/6: Cert and TLS risks,,"has_public:t and finding_name:""certificate and tls service risks""",false,true,false,Info,false,,,0.00,0.00,0.00,0.00,,,{},false,
,2026-05-12,2026-05-12,salesengineering@runzero.com,assets,Security,Info,External IPv4/6: Insecure Protocols,,"has_public:t and finding_name:""obsolete or insecure protocol""",false,true,false,Info,false,,,0.00,0.00,0.00,0.00,,,{},false,
,2026-05-12,2026-05-12,salesengineering@runzero.com,assets,Security,Info,External IPv4/6: Admin Interface Available,,"has_public:t and finding_name:""administrative interface available""",false,true,false,Info,false,,,0.00,0.00,0.00,0.00,,,{},false,
